major,minor,patch,linearized,count
12, 2, 0, 12.500000, 2
2014, 262, 2215, 2014.992453, 1
1, 0, 30000065, 1.333333, 1
2, 18, 2, 2.902439, 3
17, 0, 4, 17.250000, 1
1, 1, 357, 1.499303, 1
1, 0, 915, 1.332848, 1
2, 0, 87, 2.328302, 2
2014, 118, 28, 2014.983462, 1
0, 69, 1, 0.971963, 2
0, 0, 20150812, 0.333333, 1
0, 20, 18, 0.912664, 1
1, 0, 30000234, 1.333333, 1
0, 4, 188, 0.713855, 1
0, 0, 84, 0.328125, 54
0, 6, 71, 0.777099, 1
0, 8, 180, 0.818000, 1
0, 0, 594, 0.332587, 2
1, 201509120005, 1, 2.000000, 1
2, 7, 18, 2.797980, 3
62, 0, 0, 62.000000, 2
0, 90, 57, 0.978487, 2
1, 2, 26, 1.594203, 24
1, 0, 1418161923554, 1.333333, 1
1, 0, 367, 1.332127, 1
13, 5, 5, 13.740741, 1
7, 0, 15, 7.306122, 1
0, 1, 2, 0.428571, 24410
0, 7, 143, 0.799724, 2
2, 8, 1414100177027, 2.818182, 1
2014, 9, 24, 2014.832258, 2
2, 0, 56, 2.325581, 2
0, 7, 653, 0.799939, 1
1, 0, 1433302558564, 1.333333, 1
0, 91, 13, 0.978693, 1
1, 5, 32, 1.748148, 2
25, 0, 6, 25.272727, 1
0, 16, 23, 0.894292, 4
1, 0, 20140804, 1.333333, 1
0, 6, 40, 0.776596, 5
0, 2, 72, 0.597826, 21
0, 8, 217, 0.818031, 1
1, 201507280620, 1, 2.000000, 1
1, 22, 6, 1.919192, 1
2014, 263, 845, 2014.992481, 1
0, 0, 439, 0.332324, 2
2, 1, 34, 2.492958, 1
0, 1, 683, 0.499635, 1
5, 3, 12, 5.658537, 2
1, 4, 42, 1.712418, 2
1, 14, 13, 1.881423, 2
1, 0, 394, 1.332209, 1
4, 0, 4, 4.250000, 128
0, 1, 173, 0.498567, 7
0, 7, 18, 0.797980, 40
0, 100, 1, 0.980456, 2
0, 13, 5, 0.872727, 74
0, 3, 114, 0.665706, 4
3, 5, 28, 3.747899, 1
0, 51, 28, 0.962917, 1
8, 1, 0, 8.333333, 30
2, 4, 37, 2.712177, 1
1, 21, 7, 1.915888, 2
16, 5, 3, 16.736842, 1
1, 1, 45, 1.494624, 8
0, 22, 15, 0.919622, 3
0, 8, 285, 0.818067, 1
1, 0, 1053, 1.332912, 1
1, 0, 30000179, 1.333333, 1
33, 0, 0, 33.000000, 1
2, 8, 1414096174934, 2.818182, 1
0, 1, 549, 0.499546, 1
2014, 265, 1200, 2014.992537, 1
0, 32, 0, 0.941176, 40
0, 1, 822, 0.499696, 1
5, 9, 72, 5.832957, 1
2014, 115, 40, 2014.983044, 1
0, 1, 999991, 0.500000, 1
1, 0, 17, 1.309091, 349
1, 0, 1441405279576, 1.333333, 1
1, 10, 0, 1.833333, 318
4, 4, 1, 4.684211, 62
7, 2, 2, 7.555556, 11
0, 3, 25, 0.662500, 101
0, 9, 120, 0.833105, 2
3, 1, 9, 3.476190, 35
6, 5, 10, 6.744681, 1
2, 20, 0, 2.909091, 15
1, 17, 8, 1.898990, 4
0, 1, 526, 0.499526, 1
