major,minor,patch,linearized,count,avg_time,min_time,max_time
0,0,8,0.285714,9382,5995533.235800,0.000000,122620925.000000
0,0,9,0.290323,7600,6455332.678400,0.000000,122627686.000000
0,1,0,0.333333,57850,2410330.787600,0.000000,146977296.000000
0,1,1,0.400000,36374,3496029.156100,0.000000,137351730.000000
0,1,10,0.478261,2476,10651716.577900,0.000000,111170866.000000
0,1,11,0.480000,2095,10671462.464400,0.000000,107994277.000000
0,1,12,0.481481,1746,10837682.729100,0.000000,122322004.000000
0,1,13,0.482759,1433,11018520.874400,0.000000,120237836.000000
0,1,14,0.483871,1258,11568516.509500,0.000000,122344708.000000
0,1,15,0.484848,1082,11884452.464000,0.000000,124585921.000000
0,1,16,0.485714,938,12126224.897700,0.000000,125754545.000000
0,1,17,0.486486,835,12761376.269500,0.000000,125754689.000000
0,1,18,0.487179,722,13403886.718800,0.000000,128622858.000000
0,1,19,0.487805,658,13323150.911900,0.000000,111633635.000000
0,1,2,0.428571,24406,4680856.203200,0.000000,127069002.000000
0,1,20,0.488372,602,13116771.838900,0.000000,111349479.000000
0,1,21,0.488889,584,12571809.650700,0.000000,113166715.000000
0,1,22,0.489362,533,12269731.129500,0.000000,108643049.000000
0,1,23,0.489796,471,12999267.923600,0.000000,108665705.000000
0,1,24,0.490196,417,13045429.352500,0.000000,108673263.000000
0,1,25,0.490566,386,12238513.870500,0.000000,92401830.000000
0,1,26,0.490909,336,12737702.366100,0.000000,92742848.000000
0,1,27,0.491228,313,12703258.207700,0.000000,92937554.000000
0,1,28,0.491525,279,12946386.078900,0.000000,100913740.000000
0,1,29,0.491803,250,12938581.756000,0.000000,111804603.000000
0,1,3,0.444444,17217,5611770.936900,0.000000,124801048.000000
0,1,30,0.492063,244,12493000.745900,0.000000,86737793.000000
0,1,31,0.492308,271,12385444.752800,0.000000,96095854.000000
0,1,32,0.492537,231,13390085.463200,331.000000,96959667.000000
0,1,33,0.492754,218,13089757.316500,0.000000,102774948.000000
0,1,34,0.492958,197,12301052.340100,0.000000,98863994.000000
0,1,35,0.493151,177,13551712.847500,2189.000000,90105328.000000
0,1,36,0.493333,161,14225535.956500,0.000000,98865819.000000
0,1,37,0.493506,155,15492251.354800,11569.000000,99301640.000000
0,1,38,0.493671,148,14360081.743200,0.000000,92351348.000000
0,1,39,0.493827,129,15144226.930200,347.000000,96070002.000000
0,1,4,0.454545,12682,6539933.156000,0.000000,128267534.000000
0,1,40,0.493976,132,14371909.462100,13239.000000,102207053.000000
0,1,41,0.494118,150,12012832.833300,174.000000,104107120.000000
0,1,42,0.494253,130,13033283.015400,1127.000000,105321533.000000
0,1,43,0.494382,115,13994487.582600,0.000000,106004367.000000
0,1,44,0.494505,108,13138149.148100,5913.000000,83893913.000000
0,1,45,0.494624,107,12090313.747700,0.000000,83597629.000000
0,1,46,0.494737,105,12949848.819000,0.000000,83598105.000000
0,1,5,0.461538,9837,7373346.781500,0.000000,128255601.000000
0,1,51,0.495238,100,11884216.470000,0.000000,70771813.000000
0,1,6,0.466667,7656,8060665.919900,0.000000,127420344.000000
0,1,7,0.470588,5828,8746371.226100,0.000000,120713131.000000
0,1,8,0.473684,4695,9269274.433400,0.000000,125101616.000000
0,1,9,0.476190,3718,9587308.058100,0.000000,125708181.000000
0,10,0,0.833333,1423,21434464.167300,0.000000,147646402.000000
0,10,1,0.837838,807,23278219.438700,0.000000,143594769.000000
0,10,2,0.840000,533,23185031.251400,0.000000,130117562.000000
0,10,3,0.841270,391,22507451.422000,0.000000,130195243.000000
0,10,4,0.842105,306,22936759.673200,0.000000,131220730.000000
0,10,5,0.842697,242,23596030.925600,0.000000,115505013.000000
0,10,6,0.843137,192,22292293.682300,1.000000,116636135.000000
0,10,7,0.843478,155,21685223.361300,0.000000,125400898.000000
0,10,8,0.843750,131,21365323.977100,0.000000,110718365.000000
0,10,9,0.843972,109,21949062.972500,0.000000,113052462.000000
0,11,0,0.846154,1023,22655219.964800,0.000000,130612852.000000
0,11,1,0.850000,543,23657270.427300,0.000000,125069138.000000
0,11,2,0.851852,353,23194390.784700,0.000000,132363876.000000
0,11,3,0.852941,234,22345530.824800,0.000000,132858661.000000
0,11,4,0.853659,172,23295150.267400,8.000000,141671291.000000
0,11,5,0.854167,136,21259764.205900,0.000000,99770851.000000
0,11,6,0.854545,115,20927922.660900,0.000000,83279351.000000
0,12,0,0.857143,813,23707820.049200,0.000000,128839276.000000
